date,tvl,price
2022-06-22,5761719801.0,61.91
2022-06-23,5964634073.0,68.0
2022-06-24,6250981997.0,71.05
2022-06-25,6496743566.0,69.87
2022-06-26,6595120103.0,65.4
2022-06-27,6460709698.0,65.43
2022-06-28,6396225661.0,60.07
2022-06-29,6149999144.0,59.89
2022-06-30,5926496652.0,57.09
2022-07-01,5793007825.0,56.33
2022-07-02,5872938750.0,57.83
2022-07-03,6035365487.0,57.87
2022-07-04,6119710578.0,63.05
2022-07-05,6368111848.0,60.71
2022-07-06,6366034361.0,62.95
2022-07-07,6508762852.0,71.26
2022-07-08,6702708074.0,71.79
2022-07-09,6155644871.0,81.91
2022-07-10,6136173238.0,77.48
2022-07-11,5986730531.0,69.87
2022-07-12,5775708045.0,68.44
2022-07-13,5220311921.0,79.64
2022-07-14,5399036665.0,91.23
2022-07-15,5550426741.0,90.23
2022-07-16,5597967577.0,92.91
2022-07-17,5870791998.0,88.18
2022-07-18,5803059464.0,96.2
2022-07-19,6216323169.0,95.89
2022-07-20,6204515553.0,90.82
2022-07-21,6125649431.0,95.42
2022-07-22,6235573237.0,89.39
2022-07-23,6302543871.0,89.42
2022-07-24,6314103505.0,90.67
2022-07-25,6289986530.0,81.18
2022-07-26,6029281543.0,81.33
2022-07-27,5978044898.0,94.58
2022-07-28,6380112475.0,100.47
2022-07-29,6615792159.0,95.35
2022-07-30,6577852052.0,95.14
2022-07-31,6559823927.0,97.63
2022-08-01,6539859915.0,96.54
2022-08-02,6412639919.0,93.45
2022-08-03,6324457189.0,94.94
2022-08-04,6405669656.0,96.46
2022-08-05,6574415233.0,102.83
2022-08-06,6938168690.0,98.99
2022-08-07,6865798540.0,101.3
2022-08-08,6937451873.0,102.55
2022-08-09,7141639793.0,97.89
2022-08-10,6960230700.0,111.04
2022-08-11,7388337447.0,107.48
2022-08-12,7396477207.0,114.64
2022-08-13,7609955252.0,110.58
2022-08-14,7529515026.0,107.53
2022-08-15,7458247147.0,107.03
2022-08-16,7412880830.0,109.74
2022-08-17,7490383450.0,100.14
2022-08-18,7332809611.0,94.89
2022-08-19,7147776448.0,83.39
2022-08-20,6692946881.0,82.86
2022-08-21,6728822039.0,85.97
2022-08-22,6454330820.0,88.61
2022-08-23,6452630949.0,89.37
2022-08-24,6504348843.0,88.38
2022-08-25,6565765252.0,93.33
2022-08-26,6597821123.0,82.74
2022-08-27,6230746163.0,82.0
2022-08-28,6204390543.0,78.38
2022-08-29,5999341290.0,85.73
2022-08-30,6099176761.0,84.63
2022-08-31,6103020977.0,84.84
2022-09-01,6194013670.0,86.41
2022-09-02,6259818438.0,88.56
2022-09-03,6358800444.0,87.06
2022-09-04,6339134176.0,88.83
2022-09-05,6386474228.0,91.11
2022-09-06,6514890621.0,83.5
2022-09-07,6122152791.0,87.35
2022-09-08,6353673612.0,88.22
2022-09-09,6349240552.0,91.18
2022-09-10,6585300514.0,92.68
2022-09-11,6676971651.0,91.46
2022-09-12,6639290978.0,90.69
2022-09-13,6529664139.0,82.98
2022-09-14,6203142881.0,83.61
2022-09-15,6115955163.0,78.31
2022-09-16,5822454772.0,79.38
2022-09-17,5747169643.0,81.45
2022-09-18,5773514704.0,73.07
2022-09-19,5521720940.0,76.32
2022-09-20,5543648493.0,74.05
2022-09-21,5546298536.0,71.63
2022-09-22,5366885177.0,76.69
2022-09-23,5596574182.0,77.14
2022-09-24,5595095340.0,74.97
2022-09-25,5589601919.0,73.76
2022-09-26,5557164888.0,76.26
2022-09-27,5528670834.0,76.6
2022-09-28,5565410083.0,76.83
2022-09-29,5606851492.0,76.97
2022-09-30,5579484483.0,74.63
2022-10-01,5537321574.0,74.56
2022-10-02,5507139124.0,72.68
2022-10-03,5447736815.0,75.63
2022-10-04,5470172733.0,78.85
2022-10-05,5567514089.0,78.75
2022-10-06,5586055483.0,77.49
2022-10-07,5575189352.0,75.81
2022-10-08,5507032309.0,74.68
2022-10-09,5463092885.0,75.52
2022-10-10,5479195000.0,73.59
2022-10-11,5389666599.0,71.46
2022-10-12,5383495969.0,71.52
2022-10-13,5273353109.0,71.09
2022-10-14,5103182725.0,72.93
2022-10-15,5093848377.0,71.85
2022-10-16,5190911248.0,75.87
2022-10-17,5244057769.0,78.75
2022-10-18,5196773100.0,82.46
2022-10-19,5131280306.0,82.85
2022-10-20,5036158678.0,80.7
2022-10-21,4968109053.0,82.1
2022-10-22,4912103891.0,82.03
2022-10-23,4907784927.0,88.79
2022-10-24,5039477002.0,85.18
2022-10-25,4977766915.0,81.92
2022-10-26,5246766525.0,83.43
2022-10-27,5429932628.0,81.44
2022-10-28,5351214942.0,84.1
2022-10-29,5416597007.0,85.36
2022-10-30,5602724367.0,83.89
2022-10-31,5539178622.0,83.85
2022-11-01,5423492509.0,84.26
2022-11-02,5434018872.0,80.42
2022-11-03,5319047233.0,83.72
2022-11-04,5296846649.0,94.7
2022-11-05,5522424223.0,96.32
2022-11-06,5480042775.0,86.35
2022-11-07,5322672668.0,87.35
2022-11-08,5403612610.0,72.26
2022-11-09,4720190261.0,58.24
2022-11-10,4180011295.0,68.04
2022-11-11,4714779636.0,64.1
2022-11-12,4668599090.0,58.0
2022-11-13,4619997368.0,56.66
2022-11-14,4620084511.0,58.99
2022-11-15,4422573688.0,61.08
2022-11-16,4360960733.0,58.33
2022-11-17,4308137379.0,58.66
2022-11-18,4271479316.0,58.47
2022-11-19,4240443752.0,58.62
2022-11-20,4268561640.0,56.24
2022-11-21,4086536276.0,56.05
